Number; coordinate X; coordinate Y
1;516;721
2;517;725
3;517;759
4;517;769
5;517;774
6;517;775
7;518;744
8;520;116
9;465;101
10;467;916
11;471;908
12;472;907
13;478;263
14;415;949
15;481;307
16;482;126
17;482;127
18;482;137
19;482;308
20;488;865
21;490;860
22;491;859
23;493;856
24;494;115
25;497;403
26;498;215
27;503;458
28;504;416
29;504;526
30;504;637
31;505;622
32;505;623
33;505;624
34;505;625
35;505;626
36;506;616
37;506;617
38;506;618
39;506;619
40;442;932
41;510;694
42;511;557
