Number; coordinate X; coordinate Y
1;448;195
2;704;736
3;611;639
4;389;574
5;394;521
6;427;440
7;651;627
8;428;611
9;684;640
10;462;227
11;622;636
12;686;643
13;402;463
14;402;594
15;403;464
16;403;595
17;404;596
18;471;620
19;633;632
20;634;631
21;700;664
22;413;603
23;669;627
24;414;470
25;414;603
26;703;669
27;703;694
