Number; coordinate X; coordinate Y
1;230;441
2;295;543
3;424;368
4;425;368
5;426;368
6;298;542
7;427;368
8;299;541
9;428;367
10;429;367
11;719;303
12;433;366
13;434;366
14;435;365
15;726;299
16;310;419
17;281;505
18;442;362
19;282;506
20;443;362
21;444;361
22;607;329
